month,grid_id,lon,lat,era5_lon,era5_lat,u10_m_s,v10_m_s,wind_speed_m_s,wind_direction_from_deg,source_status
2024-01-01,G025_R386_C1134,103.625,-6.625,103.5,-6.5,2.757571220397949,-0.24049949645996094,2.768038844265833,274.98439613081536,ok
2024-01-01,G025_R386_C1135,103.875,-6.625,103.75,-6.5,2.889895439147949,-0.22682762145996094,2.8987836102519453,274.4879392116258,ok
2024-01-01,G025_R386_C1136,104.125,-6.625,104.0,-6.5,2.963137626647949,-0.22878074645996094,2.9719564640834863,274.41498800121656,ok
2024-01-01,G025_R386_C1137,104.375,-6.625,104.25,-6.5,3.098879814147949,-0.18190574645996094,3.1042142005874505,273.35943496814446,ok
2024-01-01,G025_R386_C1138,104.625,-6.625,104.5,-6.5,3.142825126647949,-0.09743309020996094,3.144335062259994,271.77570090443675,ok
2024-01-01,G025_R386_C1139,104.875,-6.625,104.75,-6.5,3.239993095397949,0.14914894104003906,3.2434242190684444,267.3643227278997,ok
2024-01-01,G025_R386_C1141,105.375,-6.625,105.25,-6.5,3.202883720397949,0.8200473785400391,3.306197487967196,255.6388310650859,ok
2024-01-01,G025_R387_C1132,103.125,-6.875,103.0,-6.75,2.602786064147949,-0.09255027770996094,2.604431003045956,272.0364743668255,ok
2024-01-01,G025_R387_C1133,103.375,-6.875,103.25,-6.75,2.722903251647949,-0.09352684020996094,2.7245090177267968,271.9672338003533,ok
2024-01-01,G025_R387_C1134,103.625,-6.875,103.5,-6.75,2.827395439147949,-0.09352684020996094,2.828941893916219,271.8945846474149,ok
2024-01-01,G025_R387_C1135,103.875,-6.875,103.75,-6.75,2.905520439147949,-0.04958152770996094,2.9059434526839207,270.97763434768825,ok
2024-01-01,G025_R387_C1136,104.125,-6.875,104.0,-6.75,2.985598564147949,-0.017843246459960938,2.9856518832051613,270.342420630675,ok
2024-01-01,G025_R387_C1137,104.375,-6.875,104.25,-6.75,3.029543876647949,0.023172378540039062,3.029632495809069,269.5617645246283,ok
2024-01-01,G025_R387_C1138,104.625,-6.875,104.5,-6.75,3.080813407897949,0.10910987854003906,3.082744916446834,267.9716643175276,ok
2024-01-01,G025_R387_C1139,104.875,-6.875,104.75,-6.75,3.071047782897949,0.20090675354003906,3.0776123876246024,266.25706584769716,ok
2024-01-01,G025_R387_C1140,105.125,-6.875,105.0,-6.75,3.095950126647949,0.47336769104003906,3.1319297817179796,261.30685820970507,ok
2024-01-01,G025_R387_C1141,105.375,-6.875,105.25,-6.75,3.057375907897949,0.6589145660400391,3.1275734759609635,257.8378440358421,ok
2024-01-01,G025_R387_C1142,105.625,-6.875,105.5,-6.75,2.525637626647949,0.6974887847900391,2.6201786248360572,254.56179354223042,ok
2024-01-01,G025_R387_C1143,105.875,-6.875,105.75,-6.75,1.7468290328979492,0.5431919097900391,1.8293357048493135,252.7264571369901,ok
2024-01-01,G025_R388_C1132,103.125,-7.125,103.0,-7.0,2.660891532897949,0.04416847229003906,2.66125808665609,269.0490275040601,ok
2024-01-01,G025_R388_C1133,103.375,-7.125,103.25,-7.0,2.715579032897949,0.06467628479003906,2.7163491133742736,268.6356582962535,ok
2024-01-01,G025_R388_C1134,103.625,-7.125,103.5,-7.0,2.836184501647949,0.08371925354003906,2.8374198562781165,268.30921879976495,ok
2024-01-01,G025_R388_C1135,103.875,-7.125,103.75,-7.0,2.889407157897949,0.11203956604003906,2.891578563426964,267.7794130516842,ok
2024-01-01,G025_R388_C1136,104.125,-7.125,104.0,-7.0,2.973391532897949,0.17991065979003906,2.978829477062308,266.53743231844453,ok
2024-01-01,G025_R388_C1137,104.375,-7.125,104.25,-7.0,3.004153251647949,0.21897315979003906,3.012123172132139,265.8310751409888,ok
2024-01-01,G025_R388_C1138,104.625,-7.125,104.5,-7.0,3.005129814147949,0.27659034729003906,3.017831575833037,264.7413465166251,ok
2024-01-01,G025_R388_C1139,104.875,-7.125,104.75,-7.0,2.995364189147949,0.36838722229003906,3.017932366898987,262.9886421042675,ok
2024-01-01,G025_R388_C1140,105.125,-7.125,105.0,-7.0,2.927981376647949,0.42502784729003906,2.9586692300710506,261.7405947413385,ok
2024-01-01,G025_R388_C1141,105.375,-7.125,105.25,-7.0,2.853762626647949,0.5588169097900391,2.9079610499317026,258.9206696861893,ok
2024-01-01,G025_R388_C1142,105.625,-7.125,105.5,-7.0,2.702395439147949,0.6130161285400391,2.7710521257056597,257.2192161097059,ok
2024-01-01,G025_R388_C1143,105.875,-7.125,105.75,-7.0,2.284914970397949,0.5461215972900391,2.349273338923184,256.5578157379272,ok
2024-01-01,G025_R388_C1144,106.125,-7.125,106.0,-7.0,1.7902860641479492,0.40159034729003906,1.8347749176721622,257.3569074630201,ok
2024-01-01,G025_R388_C1145,106.375,-7.125,106.25,-7.0,1.2912626266479492,0.10227394104003906,1.295306577607642,265.471364791235,ok
2024-01-01,G025_R389_C1132,103.125,-7.375,103.0,-7.25,2.693118095397949,0.17209815979003906,2.69861128218997,266.34360299216394,ok
2024-01-01,G025_R389_C1133,103.375,-7.375,103.25,-7.25,2.724856376647949,0.17893409729003906,2.7307251206468934,266.24293220944526,ok
2024-01-01,G025_R389_C1134,103.625,-7.375,103.5,-7.25,2.820071220397949,0.23703956604003906,2.8300158027801237,265.1953281494373,ok
2024-01-01,G025_R389_C1135,103.875,-7.375,103.75,-7.25,2.855227470397949,0.26096534729003906,2.867128671720417,264.777724486992,ok
2024-01-01,G025_R389_C1136,104.125,-7.375,104.0,-7.25,2.936770439147949,0.31760597229003906,2.9538947452283297,263.8275633132114,ok
2024-01-01,G025_R389_C1137,104.375,-7.375,104.25,-7.25,2.932375907897949,0.37668800354003906,2.9564712610190043,262.6799702101926,ok
2024-01-01,G025_R389_C1138,104.625,-7.375,104.5,-7.25,2.912844657897949,0.42112159729003906,2.94312884542093,261.77351972826193,ok
2024-01-01,G025_R389_C1139,104.875,-7.375,104.75,-7.25,2.891848564147949,0.45627784729003906,2.927623198414063,261.0337492358988,ok
2024-01-01,G025_R389_C1140,105.125,-7.375,105.0,-7.25,2.846926689147949,0.5187778472900391,2.8938075313022793,259.6726576864907,ok
2024-01-01,G025_R389_C1141,105.375,-7.375,105.25,-7.25,2.741946220397949,0.5163364410400391,2.7901384187707414,259.3355068384505,ok
2024-01-01,G025_R389_C1142,105.625,-7.375,105.5,-7.25,2.627200126647949,0.5383090972900391,2.6817824650191553,258.4204604737722,ok
2024-01-01,G025_R389_C1143,105.875,-7.375,105.75,-7.25,2.446536064147949,0.47043800354003906,2.491355179084523,259.11559539625654,ok
