"grid_id","cell_no","lon","lat","west","east","south","north","row_nc0","col_nc0","row_R1","col_R1","row_bbox_R1","col_bbox_R1","status","sea_fraction","center_at_sea","selected","selection_rule","crs_epsg"
"G025_R387_C1133",114,103.375,-6.875,103.25,103.5,-7,-6.75,387,1133,388,1134,8,2,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R387_C1134",115,103.625,-6.875,103.5,103.75,-7,-6.75,387,1134,388,1135,8,3,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R387_C1135",116,103.875,-6.875,103.75,104,-7,-6.75,387,1135,388,1136,8,4,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R387_C1136",117,104.125,-6.875,104,104.25,-7,-6.75,387,1136,388,1137,8,5,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R387_C1137",118,104.375,-6.875,104.25,104.5,-7,-6.75,387,1137,388,1138,8,6,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R387_C1138",119,104.625,-6.875,104.5,104.75,-7,-6.75,387,1138,388,1139,8,7,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R387_C1139",120,104.875,-6.875,104.75,105,-7,-6.75,387,1139,388,1140,8,8,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R387_C1140",121,105.125,-6.875,105,105.25,-7,-6.75,387,1140,388,1141,8,9,"Pesisir campuran",0.984515069981161,TRUE,TRUE,"center",4326
"G025_R387_C1141",122,105.375,-6.875,105.25,105.5,-7,-6.75,387,1141,388,1142,8,10,"Pesisir campuran",0.728353404473705,TRUE,TRUE,"center",4326
"G025_R387_C1142",123,105.625,-6.875,105.5,105.75,-7,-6.75,387,1142,388,1143,8,11,"Pesisir campuran",0.610939863404697,TRUE,TRUE,"center",4326
"G025_R387_C1143",124,105.875,-6.875,105.75,106,-7,-6.75,387,1143,388,1144,8,12,"Pesisir campuran",0.656623230040277,TRUE,TRUE,"center",4326
"G025_R388_C1132",129,103.125,-7.125,103,103.25,-7.25,-7,388,1132,389,1133,9,1,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R388_C1133",130,103.375,-7.125,103.25,103.5,-7.25,-7,388,1133,389,1134,9,2,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R388_C1134",131,103.625,-7.125,103.5,103.75,-7.25,-7,388,1134,389,1135,9,3,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R388_C1135",132,103.875,-7.125,103.75,104,-7.25,-7,388,1135,389,1136,9,4,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R388_C1136",133,104.125,-7.125,104,104.25,-7.25,-7,388,1136,389,1137,9,5,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R388_C1137",134,104.375,-7.125,104.25,104.5,-7.25,-7,388,1137,389,1138,9,6,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R388_C1138",135,104.625,-7.125,104.5,104.75,-7.25,-7,388,1138,389,1139,9,7,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R388_C1139",136,104.875,-7.125,104.75,105,-7.25,-7,388,1139,389,1140,9,8,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R388_C1140",137,105.125,-7.125,105,105.25,-7.25,-7,388,1140,389,1141,9,9,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R388_C1141",138,105.375,-7.125,105.25,105.5,-7.25,-7,388,1141,389,1142,9,10,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R388_C1142",139,105.625,-7.125,105.5,105.75,-7.25,-7,388,1142,389,1143,9,11,"Pesisir campuran",0.990410782673628,TRUE,TRUE,"center",4326
"G025_R388_C1143",140,105.875,-7.125,105.75,106,-7.25,-7,388,1143,389,1144,9,12,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R388_C1144",141,106.125,-7.125,106,106.25,-7.25,-7,388,1144,389,1145,9,13,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R388_C1145",142,106.375,-7.125,106.25,106.5,-7.25,-7,388,1145,389,1146,9,14,"Pesisir campuran",0.848355756103635,TRUE,TRUE,"center",4326
"G025_R389_C1132",145,103.125,-7.375,103,103.25,-7.5,-7.25,389,1132,390,1133,10,1,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R389_C1133",146,103.375,-7.375,103.25,103.5,-7.5,-7.25,389,1133,390,1134,10,2,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R389_C1134",147,103.625,-7.375,103.5,103.75,-7.5,-7.25,389,1134,390,1135,10,3,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R389_C1135",148,103.875,-7.375,103.75,104,-7.5,-7.25,389,1135,390,1136,10,4,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R389_C1136",149,104.125,-7.375,104,104.25,-7.5,-7.25,389,1136,390,1137,10,5,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R389_C1137",150,104.375,-7.375,104.25,104.5,-7.5,-7.25,389,1137,390,1138,10,6,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R389_C1138",151,104.625,-7.375,104.5,104.75,-7.5,-7.25,389,1138,390,1139,10,7,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R389_C1139",152,104.875,-7.375,104.75,105,-7.5,-7.25,389,1139,390,1140,10,8,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R389_C1140",153,105.125,-7.375,105,105.25,-7.5,-7.25,389,1140,390,1141,10,9,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R389_C1141",154,105.375,-7.375,105.25,105.5,-7.5,-7.25,389,1141,390,1142,10,10,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R389_C1142",155,105.625,-7.375,105.5,105.75,-7.5,-7.25,389,1142,390,1143,10,11,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R389_C1143",156,105.875,-7.375,105.75,106,-7.5,-7.25,389,1143,390,1144,10,12,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R389_C1144",157,106.125,-7.375,106,106.25,-7.5,-7.25,389,1144,390,1145,10,13,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R389_C1145",158,106.375,-7.375,106.25,106.5,-7.5,-7.25,389,1145,390,1146,10,14,"Pesisir campuran",0.780585286114335,TRUE,TRUE,"center",4326
"G025_R390_C1132",161,103.125,-7.625,103,103.25,-7.75,-7.5,390,1132,391,1133,11,1,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R390_C1133",162,103.375,-7.625,103.25,103.5,-7.75,-7.5,390,1133,391,1134,11,2,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R390_C1134",163,103.625,-7.625,103.5,103.75,-7.75,-7.5,390,1134,391,1135,11,3,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R390_C1135",164,103.875,-7.625,103.75,104,-7.75,-7.5,390,1135,391,1136,11,4,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R390_C1136",165,104.125,-7.625,104,104.25,-7.75,-7.5,390,1136,391,1137,11,5,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R390_C1137",166,104.375,-7.625,104.25,104.5,-7.75,-7.5,390,1137,391,1138,11,6,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R390_C1138",167,104.625,-7.625,104.5,104.75,-7.75,-7.5,390,1138,391,1139,11,7,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R390_C1139",168,104.875,-7.625,104.75,105,-7.75,-7.5,390,1139,391,1140,11,8,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R390_C1140",169,105.125,-7.625,105,105.25,-7.75,-7.5,390,1140,391,1141,11,9,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R390_C1141",170,105.375,-7.625,105.25,105.5,-7.75,-7.5,390,1141,391,1142,11,10,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R390_C1142",171,105.625,-7.625,105.5,105.75,-7.75,-7.5,390,1142,391,1143,11,11,"Laut penuh",1,TRUE,TRUE,"center",4326
