grid_id,lon,lat,n_months,n_chla_observed,chla_mean_mg_m3,chla_median_mg_m3,sst_mean_c,wind_speed_mean_m_s,chla_availability_fraction
G025_R386_C1135,103.875,-6.625,276,269,0.40581971247197596,0.1357581664360897,28.6957847505906,4.664789148617031,0.9746376811594203
G025_R386_C1136,104.125,-6.625,276,269,0.41222852644430696,0.1529068607782122,28.730474052345148,4.683401761560981,0.9746376811594203
G025_R386_C1137,104.375,-6.625,276,269,0.4247471051259681,0.1750034689903259,28.78015029417519,4.654695549982977,0.9746376811594203
G025_R386_C1138,104.625,-6.625,276,267,0.4048400179886603,0.2235368145519321,28.835557026322096,4.634080956960232,0.967391304347826
G025_R386_C1139,104.875,-6.625,276,271,0.43380963486669527,0.3389350515951695,28.88040818696818,4.5387742066995616,0.9818840579710145
G025_R386_C1141,105.375,-6.625,276,267,0.5214474411101937,0.4639404274937493,28.881569045840088,4.269886900702335,0.967391304347826
G025_R387_C1132,103.125,-6.875,276,266,0.23626705487961747,0.11008574109993316,28.62065512079826,4.719478241671729,0.9637681159420289
G025_R387_C1133,103.375,-6.875,276,267,0.26696861689495627,0.1205119211030269,28.63252212677499,4.75075604989783,0.967391304347826
G025_R387_C1134,103.625,-6.875,276,271,0.2932621576064041,0.1267364135616509,28.648112302699946,4.76913146474276,0.9818840579710145
G025_R387_C1135,103.875,-6.875,276,270,0.306143259571255,0.13779565043504,28.670852334354304,4.775012639069684,0.9782608695652174
G025_R387_C1136,104.125,-6.875,276,270,0.3662556496832122,0.15398141424369355,28.697564403264728,4.80432562538618,0.9782608695652174
G025_R387_C1137,104.375,-6.875,276,265,0.34978951444173273,0.1778184925222501,28.725130257896797,4.817893420336689,0.9601449275362319
G025_R387_C1138,104.625,-6.875,276,269,0.4015367134593697,0.2175661991289443,28.745358826371035,4.803676617577298,0.9746376811594203
G025_R387_C1139,104.875,-6.875,276,273,0.4189526409079225,0.2771148304363147,28.743726625471908,4.822419418071607,0.9891304347826086
G025_R387_C1140,105.125,-6.875,276,269,0.4341352300711462,0.3344016712492914,28.713127361099748,4.786439863174263,0.9746376811594203
G025_R387_C1141,105.375,-6.875,276,262,0.7111788197691603,0.5190248246934499,28.655499791206786,4.777606770641005,0.9492753623188406
G025_R387_C1142,105.625,-6.875,276,256,1.0102006418679788,0.791219726561248,28.571416959794615,4.15032547806164,0.927536231884058
G025_R387_C1143,105.875,-6.875,276,259,0.9494846154847167,0.7210155030078461,28.41385896196654,3.1799981189872635,0.9384057971014492
G025_R388_C1132,103.125,-7.125,276,268,0.21279000691957764,0.1125852611076619,28.59401175091478,4.819749359439483,0.9710144927536232
G025_R388_C1133,103.375,-7.125,276,267,0.2317174041028611,0.1206811129101044,28.604725299467827,4.826454542720253,0.967391304347826
G025_R388_C1134,103.625,-7.125,276,270,0.26616458593906145,0.12700505576236093,28.616489508793038,4.864055580406694,0.9782608695652174
