grid_id,lon,lat,n_month,n_chla,availability,chla_mean,chla_median,chla_sd,peak_month
G025_R384_C1134,103.625,-6.125,276,265,0.9601449275362319,0.342492851911107,0.1329683519691002,0.7676329607852389,8
G025_R384_C1135,103.875,-6.125,276,268,0.9710144927536232,0.4494378764043224,0.13759705601721683,1.2593627815708652,9
G025_R384_C1136,104.125,-6.125,276,268,0.9710144927536232,0.5013843623120824,0.15470937159712417,1.2353877477699782,8
G025_R384_C1137,104.375,-6.125,276,269,0.9746376811594203,0.4876843081570834,0.1966032148194774,0.9561499790347917,8
G025_R384_C1138,104.625,-6.125,276,271,0.9818840579710145,0.4873113413578277,0.282595113442427,0.6328289679206233,8
G025_R384_C1139,104.875,-6.125,276,274,0.9927536231884058,0.45786219176223525,0.2732395612396773,0.5500037933468958,8
G025_R384_C1140,105.125,-6.125,276,272,0.9855072463768116,0.5031347307603775,0.346615786467908,0.44975201728971753,8
G025_R384_C1141,105.375,-6.125,276,271,0.9818840579710145,0.6041105370965579,0.5434815413076829,0.3388091124844754,7
G025_R384_C1142,105.625,-6.125,276,263,0.9528985507246377,0.6070605111887076,0.5914414818544201,0.2766400223798507,2
G025_R385_C1132,103.125,-6.375,276,268,0.9710144927536232,0.23550729690248404,0.11667701908759075,0.49236100460485277,9
G025_R385_C1133,103.375,-6.375,276,268,0.9710144927536232,0.29487729844299315,0.12427513746411095,0.6874664770746521,9
G025_R385_C1134,103.625,-6.375,276,267,0.967391304347826,0.3810895771873035,0.1301910411110557,0.9355275592766654,9
G025_R385_C1135,103.875,-6.375,276,265,0.9601449275362319,0.46175794073720433,0.1366563312249965,1.1704523336560722,9
G025_R385_C1136,104.125,-6.375,276,268,0.9710144927536232,0.49982420863295524,0.1475413236851024,1.17130025921634,8
G025_R385_C1137,104.375,-6.375,276,269,0.9746376811594203,0.485744411891157,0.1782078348819305,0.9930590438491899,8
G025_R385_C1138,104.625,-6.375,276,270,0.9782608695652174,0.4414712886382515,0.2189160004807448,0.6733716773867563,8
G025_R385_C1139,104.875,-6.375,276,274,0.9927536231884058,0.4348834188942559,0.28935335911939086,0.40309954271571946,8
G025_R385_C1140,105.125,-6.375,276,272,0.9855072463768116,0.4679131139696432,0.39928196355504864,0.3331084633634354,8
G025_R385_C1141,105.375,-6.375,276,271,0.9818840579710145,0.5028015288262697,0.4803832274740032,0.2672701767513353,7
G025_R385_C1142,105.625,-6.375,276,262,0.9492753623188406,0.7300565071039715,0.6899501507517578,0.3410469903482825,2
G025_R386_C1132,103.125,-6.625,276,265,0.9601449275362319,0.23856734578404745,0.1138378576717449,0.47173694586486586,9
G025_R386_C1133,103.375,-6.625,276,265,0.9601449275362319,0.29532824343910485,0.119651720298922,0.6694127382279401,8
G025_R386_C1134,103.625,-6.625,276,267,0.967391304347826,0.34885528160388757,0.1297489993975552,0.7963034985749956,9
G025_R386_C1135,103.875,-6.625,276,269,0.9746376811594203,0.4058197124719759,0.1357581664360897,0.9488635489082261,9
G025_R386_C1136,104.125,-6.625,276,269,0.9746376811594203,0.41222852644430696,0.1529068607782122,0.8827070194806467,8
G025_R386_C1137,104.375,-6.625,276,269,0.9746376811594203,0.42474710512596814,0.1750034689903259,0.7885867074654445,8
G025_R386_C1138,104.625,-6.625,276,267,0.967391304347826,0.4048400179886603,0.2235368145519321,0.45912907788856033,9
G025_R386_C1139,104.875,-6.625,276,271,0.9818840579710145,0.43380963486669527,0.3389350515951695,0.33844141751237866,8
G025_R386_C1141,105.375,-6.625,276,267,0.967391304347826,0.5214474411101937,0.4639404274937493,0.33043269207262843,7
G025_R387_C1132,103.125,-6.875,276,266,0.9637681159420289,0.23626705487961747,0.11008574109993316,0.5555452583102175,8
G025_R387_C1133,103.375,-6.875,276,267,0.967391304347826,0.26696861689495627,0.1205119211030269,0.6113848499471262,8
G025_R387_C1134,103.625,-6.875,276,271,0.9818840579710145,0.2932621576064041,0.1267364135616509,0.597147612092288,8
G025_R387_C1135,103.875,-6.875,276,270,0.9782608695652174,0.30614325957125504,0.13779565043504,0.519791849717225,8
G025_R387_C1136,104.125,-6.875,276,270,0.9782608695652174,0.3662556496832122,0.15398141424369355,0.7723059884168973,9
G025_R387_C1137,104.375,-6.875,276,265,0.9601449275362319,0.34978951444173273,0.1778184925222501,0.4905250679456347,8
G025_R387_C1138,104.625,-6.875,276,269,0.9746376811594203,0.40153671345936975,0.2175661991289443,0.5372677465358153,8
G025_R387_C1139,104.875,-6.875,276,273,0.9891304347826086,0.41895264090792256,0.2771148304363147,0.4107249568238008,7
