grid_1,grid_2,distance_degree,neighbor,correlation,distance_group
G025_R381_C1134,G025_R381_C1143,2.25,FALSE,0.07232428749079299,"(1.51,Inf]"
G025_R381_C1135,G025_R381_C1143,2,FALSE,0.12321422158813515,"(1.51,Inf]"
G025_R380_C1132,G025_R381_C1144,3.010398644698074,FALSE,0.2654487793139505,"(1.51,Inf]"
G025_R380_C1133,G025_R381_C1144,2.7613402542968153,FALSE,0.2699550119631983,"(1.51,Inf]"
G025_R380_C1134,G025_R381_C1144,2.5124689052802225,FALSE,0.23183420261031415,"(1.51,Inf]"
G025_R380_C1135,G025_R381_C1144,2.2638462845343543,FALSE,0.19472800553132055,"(1.51,Inf]"
G025_R380_C1143,G025_R381_C1144,0.3535533905932738,FALSE,0.1993081404088641,"(0.26,0.51]"
G025_R380_C1144,G025_R381_C1144,0.25,TRUE,0.7241412088722977,"[0,0.26]"
G025_R380_C1145,G025_R381_C1144,0.3535533905932738,FALSE,0.5876607752541613,"(0.26,0.51]"
G025_R380_C1146,G025_R381_C1144,0.5590169943749475,FALSE,0.28217958812205624,"(0.51,0.76]"
G025_R380_C1147,G025_R381_C1144,0.7905694150420949,FALSE,0.05801187729719682,"(0.76,1.01]"
G025_R381_C1132,G025_R381_C1144,3,FALSE,0.2486240215470437,"(1.51,Inf]"
G025_R381_C1133,G025_R381_C1144,2.75,FALSE,0.25736436556648906,"(1.51,Inf]"
G025_R381_C1134,G025_R381_C1144,2.5,FALSE,0.27333230333440317,"(1.51,Inf]"
G025_R381_C1135,G025_R381_C1144,2.25,FALSE,0.31663548032779915,"(1.51,Inf]"
G025_R381_C1143,G025_R381_C1144,0.25,TRUE,0.3636437487597715,"[0,0.26]"
G025_R380_C1132,G025_R381_C1145,3.2596012026013246,FALSE,0.14626005889590413,"(1.51,Inf]"
G025_R380_C1133,G025_R381_C1145,3.010398644698074,FALSE,0.12778095220333793,"(1.51,Inf]"
G025_R380_C1134,G025_R381_C1145,2.7613402542968153,FALSE,0.11842056347527542,"(1.51,Inf]"
G025_R380_C1135,G025_R381_C1145,2.5124689052802225,FALSE,0.0870295741259706,"(1.51,Inf]"
G025_R380_C1143,G025_R381_C1145,0.5590169943749475,FALSE,0.12377838930641741,"(0.51,0.76]"
G025_R380_C1144,G025_R381_C1145,0.3535533905932738,FALSE,0.5431973439617716,"(0.26,0.51]"
G025_R380_C1145,G025_R381_C1145,0.25,TRUE,0.7364729467175892,"[0,0.26]"
G025_R380_C1146,G025_R381_C1145,0.3535533905932738,FALSE,0.5770031626317412,"(0.26,0.51]"
G025_R380_C1147,G025_R381_C1145,0.5590169943749475,FALSE,0.3381303902459736,"(0.51,0.76]"
G025_R381_C1132,G025_R381_C1145,3.25,FALSE,0.1469477803307778,"(1.51,Inf]"
G025_R381_C1133,G025_R381_C1145,3,FALSE,0.1672985440054296,"(1.51,Inf]"
G025_R381_C1134,G025_R381_C1145,2.75,FALSE,0.16186223471508057,"(1.51,Inf]"
G025_R381_C1135,G025_R381_C1145,2.5,FALSE,0.16547293303488314,"(1.51,Inf]"
G025_R381_C1143,G025_R381_C1145,0.5,FALSE,0.23704585109698761,"(0.26,0.51]"
G025_R381_C1144,G025_R381_C1145,0.25,TRUE,0.6501474539973006,"[0,0.26]"
G025_R380_C1132,G025_R381_C1146,3.5089172119045497,FALSE,0.11341090828736693,"(1.51,Inf]"
G025_R380_C1133,G025_R381_C1146,3.2596012026013246,FALSE,0.09189657969845723,"(1.51,Inf]"
G025_R380_C1134,G025_R381_C1146,3.010398644698074,FALSE,0.05260139669478643,"(1.51,Inf]"
G025_R380_C1135,G025_R381_C1146,2.7613402542968153,FALSE,0.007739074608642517,"(1.51,Inf]"
G025_R380_C1143,G025_R381_C1146,0.7905694150420949,FALSE,0.059566062355274674,"(0.76,1.01]"
G025_R380_C1144,G025_R381_C1146,0.5590169943749475,FALSE,0.3024718350491226,"(0.51,0.76]"
G025_R380_C1145,G025_R381_C1146,0.3535533905932738,FALSE,0.5972036323128389,"(0.26,0.51]"
G025_R380_C1146,G025_R381_C1146,0.25,TRUE,0.6636692390629076,"[0,0.26]"
G025_R380_C1147,G025_R381_C1146,0.3535533905932738,FALSE,0.493615175363846,"(0.26,0.51]"
G025_R381_C1132,G025_R381_C1146,3.5,FALSE,0.10888702045177649,"(1.51,Inf]"
G025_R381_C1133,G025_R381_C1146,3.25,FALSE,0.12878887524895022,"(1.51,Inf]"
G025_R381_C1134,G025_R381_C1146,3,FALSE,0.1196712930357191,"(1.51,Inf]"
G025_R381_C1135,G025_R381_C1146,2.75,FALSE,0.06461367620402306,"(1.51,Inf]"
G025_R381_C1143,G025_R381_C1146,0.75,FALSE,0.05753406411163402,"(0.51,0.76]"
G025_R381_C1144,G025_R381_C1146,0.5,FALSE,0.3596937018903875,"(0.26,0.51]"
G025_R381_C1145,G025_R381_C1146,0.25,TRUE,0.7865733242595334,"[0,0.26]"
G025_R380_C1132,G025_R381_C1147,3.758324094593227,FALSE,0.06592685258053735,"(1.51,Inf]"
G025_R380_C1133,G025_R381_C1147,3.5089172119045497,FALSE,0.07134829412500376,"(1.51,Inf]"
G025_R380_C1134,G025_R381_C1147,3.2596012026013246,FALSE,0.02018219387980975,"(1.51,Inf]"
G025_R380_C1135,G025_R381_C1147,3.010398644698074,FALSE,0.003753960460949825,"(1.51,Inf]"
G025_R380_C1143,G025_R381_C1147,1.0307764064044151,FALSE,0.05372125673265465,"(1.01,1.51]"
G025_R380_C1144,G025_R381_C1147,0.7905694150420949,FALSE,0.29912516649863685,"(0.76,1.01]"
G025_R380_C1145,G025_R381_C1147,0.5590169943749475,FALSE,0.5306105318292225,"(0.51,0.76]"
G025_R380_C1146,G025_R381_C1147,0.3535533905932738,FALSE,0.6729813314868157,"(0.26,0.51]"
G025_R380_C1147,G025_R381_C1147,0.25,TRUE,0.6982367010188715,"[0,0.26]"
G025_R381_C1132,G025_R381_C1147,3.75,FALSE,0.057229118553614074,"(1.51,Inf]"
G025_R381_C1133,G025_R381_C1147,3.5,FALSE,0.07158572416816354,"(1.51,Inf]"
G025_R381_C1134,G025_R381_C1147,3.25,FALSE,0.08400399852167181,"(1.51,Inf]"
G025_R381_C1135,G025_R381_C1147,3,FALSE,0.0250965693574279,"(1.51,Inf]"
G025_R381_C1143,G025_R381_C1147,1,FALSE,0.01880378600885215,"(0.76,1.01]"
G025_R381_C1144,G025_R381_C1147,0.75,FALSE,0.2788177435701939,"(0.51,0.76]"
G025_R381_C1145,G025_R381_C1147,0.5,FALSE,0.6025607418442962,"(0.26,0.51]"
G025_R381_C1146,G025_R381_C1147,0.25,TRUE,0.7316604941068532,"[0,0.26]"
G025_R380_C1132,G025_R382_C1132,0.5,FALSE,0.882161482790121,"(0.26,0.51]"
