grid_id,lon,lat,own_lag1_correlation,spatial_lag1_correlation
G025_R391_C1135,103.875,-7.875,0.6018795424084032,0.6147215566555568
G025_R391_C1136,104.125,-7.875,0.5960205858772546,0.6314694333296809
G025_R391_C1137,104.375,-7.875,0.6246910863859387,0.6423318453081541
G025_R391_C1138,104.625,-7.875,0.6237293897425327,0.6483410067475389
G025_R391_C1139,104.875,-7.875,0.6460893662705486,0.6671302536709964
G025_R391_C1140,105.125,-7.875,0.627790299180597,0.6608842408062505
G025_R391_C1141,105.375,-7.875,0.5893154028114105,0.6206349600397844
G025_R391_C1142,105.625,-7.875,0.5784699248647341,0.5973352864459373
G025_R391_C1143,105.875,-7.875,0.5451213316907878,0.5979940024239573
G025_R391_C1144,106.125,-7.875,0.5774085222029487,0.6082463170632094
G025_R391_C1145,106.375,-7.875,0.5777228079281056,0.5932414820288038
G025_R391_C1146,106.625,-7.875,0.5674662284535258,0.5789161890366362
G025_R391_C1147,106.875,-7.875,0.5472381982186308,0.5616806285870458
