month,raw_subset,status,n_daily_files
2011-08-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2011\oisst_daily_subset_201108_v1.nc,ok,31
2011-09-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2011\oisst_daily_subset_201109_v1.nc,ok,30
2011-10-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2011\oisst_daily_subset_201110_v1.nc,ok,31
2011-11-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2011\oisst_daily_subset_201111_v1.nc,ok,30
2011-12-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2011\oisst_daily_subset_201112_v1.nc,ok,31
2012-01-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2012\oisst_daily_subset_201201_v1.nc,ok,31
2012-02-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2012\oisst_daily_subset_201202_v1.nc,ok,29
2012-03-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2012\oisst_daily_subset_201203_v1.nc,ok,31
2012-04-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2012\oisst_daily_subset_201204_v1.nc,ok,30
2012-05-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2012\oisst_daily_subset_201205_v1.nc,ok,31
2012-06-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2012\oisst_daily_subset_201206_v1.nc,ok,30
2012-07-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2012\oisst_daily_subset_201207_v1.nc,ok,31
2012-08-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2012\oisst_daily_subset_201208_v1.nc,ok,31
2012-09-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2012\oisst_daily_subset_201209_v1.nc,ok,30
2012-10-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2012\oisst_daily_subset_201210_v1.nc,ok,31
2012-11-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2012\oisst_daily_subset_201211_v1.nc,ok,30
2012-12-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2012\oisst_daily_subset_201212_v1.nc,ok,31
2013-01-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2013\oisst_daily_subset_201301_v1.nc,ok,31
2013-02-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2013\oisst_daily_subset_201302_v1.nc,ok,28
2013-03-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2013\oisst_daily_subset_201303_v1.nc,ok,31
2013-04-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2013\oisst_daily_subset_201304_v1.nc,ok,30
2013-05-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2013\oisst_daily_subset_201305_v1.nc,ok,31
2013-06-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2013\oisst_daily_subset_201306_v1.nc,ok,30
2013-07-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2013\oisst_daily_subset_201307_v1.nc,ok,31
2013-08-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2013\oisst_daily_subset_201308_v1.nc,ok,31
